ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602
osa-miR169m	-4.1883103	-3.582462025	-4.240985725	-6.29180435	-5.318723525	-5.895141525	-7.7757995	-7.045303325	-7.6924325	-8.6879375	-8.0651399	-7.4617371
osa-miR169l	-3.093924625	-2.2899263	-3.34499655	-4.9189171	-4.150237675	-4.632494075	-6.6133826	-5.649710225	-7.2809253	-6.878216	-6.8742363	-6.64549855
osa-miR169o	-6.851668175	-7.17067175	-6.36063925	-7.1186297	-6.33526395	-6.213949	-7.089762225	-6.858603875	-6.8759165	-6.7606573	-6.70294665	-7.070723575
osa-miR169n	-6.94347525	-6.791683425	-6.6926757	-7.2117676	-6.356586225	-7.58379075	-8.347882925	-8.1931075	-8.55232475	-9.05300975	-8.2645105	-8.2019821
osa-miR169i	-2.7239544	-2.074971425	-2.97438015	-3.93116355	-3.237792475	-3.934545175	-7.027013	-5.7842883	-7.297919825	-7.3291062	-7.144991175	-7.21620515
osa-miR169h	-2.81790765	-1.9539726	-3.01835405	-4.474733825	-3.710597275	-4.287159275	-6.125007325	-5.212585975	-7.336392775	-6.602422125	-6.797561875	-6.5082809
osa-miR169k	-4.440740225	-4.12490045	-4.52984715	-6.4966006	-6.254825625	-6.771614825	-7.83150735	-6.749345475	-8.10702175	-8.207500075	-7.9912444	-8.46817825
osa-miR169j	-3.87477865	-2.9631163	-3.744243625	-5.692205175	-4.889456325	-5.029265125	-7.990419125	-6.578864725	-7.9728688	-8.27337485	-8.661330975	-8.15919965
osa-miR439c	-8.639604125	-8.70381425	-6.127685325	-9.5669445	-9.073354125	-7.6736134	-9.74269125	-9.702498125	-8.44653725	-9.39582425	-9.40786635	-9.4403055
osa-miR439b	-8.694683375	-8.2551555	-6.34404015	-8.117572925	-8.00554905	-7.495334775	-9.8153	-9.629645	-8.511195	-9.51615875	-10.14195	-9.484898125
osa-miR439a	-8.7542355	-9.13221775	-7.1039297	-9.632077	-8.06095175	-7.730207925	-9.80557125	-9.3450825	-8.521832	-9.49497875	-10.125725	-9.51901225
