ID	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641
osa-miR399j	-8.71796065	-9.09433025	-8.0157855	-9.12591025	-8.9309	-8.1513883	-8.52247675	-8.814730575	-7.8355974
osa-miR399k	-9.017508	-9.3139025	-7.793580425	-9.6777405	-9.4608375	-8.102498	-8.72966625	-10.33248675	-8.003123
osa-miR535	-6.9566647	-6.362783275	-7.150479	-6.796180675	-7.75252265	-7.504429975	-7.41183685	-6.58523775	-6.9908862
osa-miR156h	-4.187578825	-3.584659825	-3.879174725	-4.218968825	-4.58076125	-4.3971852	-4.84267435	-4.07742675	-4.546164875
osa-miR413	-9.2241165	-9.807388	-8.01240855	-9.729140875	-9.43033675	-8.0469881	-8.693440875	-10.28345463	-7.961643025
osa-miR415	-8.16581825	-8.633509	-8.12536775	-9.624576	-8.885639	-7.437534	-8.7893975	-9.070662	-7.47482725
osa-miR414	-4.702750625	-4.1519092	-4.105133025	-4.759449375	-5.193080225	-4.529691575	-5.71762565	-4.783609925	-4.620796625
osa-miR417	-8.85234875	-9.918386875	-8.24200625	-9.76189825	-9.3213085	-6.14428105	-8.78460725	-10.398005	-7.8546315
osa-miR416	-8.06041245	-7.26436175	-7.995428375	-8.04580965	-7.95405725	-7.6850743	-7.513697225	-7.54910055	-7.45511805
osa-miR419	-4.235942818	-4.5314011	-2.066094925	-3.20845335	-3.41637035	-2.81893995	-2.105376325	-2.96155425	-2.2384731
osa-miR418	-8.092604525	-8.8838636	-7.5511709	-9.0155275	-8.6057915	-8.020458575	-8.608935	-8.65314675	-7.947673375
osa-miR156l	-9.0549735	-8.90165965	-8.201043375	-9.5214575	-9.25656975	-8.11239195	-6.781856125	-8.55558025	-8.01917875
osa-miR435	-9.22931775	-9.1971035	-8.085464425	-9.26355275	-9.343641	-7.5091084	-8.34074125	-9.67594225	-7.7756948
osa-miR398b	-6.55516895	-6.309746925	-6.682614175	-7.0533998	-7.7532574	-6.119733125	-7.6822655	-6.187501275	-6.392061475
osa-miR398a	-9.2781315	-8.970092125	-8.18810475	-9.7744155	-9.48099825	-8.0956085	-8.73579775	-10.32746875	-8.0087365
osa-miR172d	-9.328906	-9.75108025	-8.1243544	-9.05497125	-9.39147975	-8.03900275	-8.390301425	-9.27362	-7.938613575
osa-miR172a	-9.416526	-8.64667525	-8.24384825	-9.75343	-9.51427175	-8.11301875	-8.7768345	-10.150325	-8.0536216
osa-miR319a	-4.0779092	-2.115914598	-3.40195295	-5.474148625	-5.560466	-4.9642366	-6.84514735	-5.5078681	-6.44218035
osa-miR172c	-9.0388045	-9.803075125	-8.16902	-9.7360225	-9.4569695	-8.074653375	-8.720031375	-10.29614663	-7.45769385
osa-miR172b	-4.5013793	-4.658598775	-5.4716834	-6.495300425	-6.948602625	-7.078261925	-7.9327173	-7.17828865	-7.581962425
osa-miR319b	-4.455811275	-3.3763133	-3.598203525	-4.411483825	-4.399724725	-4.029952525	-5.171535	-4.48687695	-4.9727662
osa-miR164f	-5.17493175	-4.840796675	-5.578767775	-5.504370575	-6.4720834	-5.665226375	-6.62222345	-5.38749295	-6.1205145
osa-miR164d	-5.713212975	-4.455852475	-4.91015345	-5.429151575	-6.414651125	-5.230354225	-6.322850325	-5.49848455	-5.88237745
osa-miR164e	-8.96920875	-8.068876	-8.242345125	-8.80645075	-8.520648	-8.148765525	-8.7778025	-8.935449325	-8.053962675
osa-miR164b	-4.655480425	-4.99347125	-6.322742175	-4.706192775	-6.7825525	-5.388859425	-6.92783465	-5.128074425	-6.58180025
osa-miR164c	-8.25031825	-7.71606985	-8.006166825	-8.37410875	-8.14802175	-8.0657341	-7.5632435	-8.60267525	-7.54861415
osa-miR164a	-4.62695875	-3.70728115	-3.40311895	-4.46935705	-4.610492175	-4.18846095	-5.835766	-4.76831855	-6.011408475
osa-miR426	-9.55812075	-9.98605625	-8.3328725	-9.917589	-9.59877425	-8.23669875	-8.86081575	-10.460239	-8.14342625
osa-miR420	-8.58582625	-9.821627	-8.1740435	-9.777656375	-9.45102775	-8.07632665	-8.72116425	-10.1517885	-7.982799675
osa-miR397b	-8.860488325	-9.20199575	-8.064122525	-9.38286125	-9.351583	-7.97667735	-8.62276525	-9.88969275	-7.532181825
osa-miR397a	-8.084142375	-9.940975875	-7.34652425	-9.88977325	-9.171775	-7.589629625	-8.67805125	-10.42368675	-8.108657
osa-miR395p	-9.44274875	-9.645004	-7.99959275	-9.88522525	-9.56286825	-8.20027125	-8.822333125	-10.08114125	-7.992614
osa-miR169p	-7.51503065	-7.60446885	-7.0877368	-7.854280725	-7.9161211	-7.0625505	-7.71439805	-8.214839625	-7.27756625
osa-miR395q	-8.912796	-9.436623625	-8.09872575	-9.684185	-8.94836835	-8.02422665	-8.65259775	-10.2440085	-7.086413125
osa-miR395r	-9.32281075	-9.8882305	-8.23425975	-9.8287775	-9.51616725	-8.153518575	-8.517828625	-10.38234463	-7.960541825
osa-miR169e	-5.829169425	-4.983070775	-4.789808525	-3.420461425	-3.07280445	-3.16264585	-3.48567175	-2.7582495	-3.28818225
osa-miR169d	-8.62469025	-9.6235815	-8.20826925	-9.779493625	-8.83978275	-8.109229675	-8.317325625	-9.751783375	-8.021196025
osa-miR169g	-9.20100475	-8.0743967	-8.1503505	-8.513534675	-8.839645175	-8.13328325	-8.75597325	-8.35544225	-7.866994025
osa-miR169f	-8.0125375	-9.532246625	-8.18503725	-9.3216665	-9.396535875	-8.15528725	-8.782987	-10.06185225	-7.9320204
osa-miR169a	-7.21534825	-6.786600925	-6.421810875	-7.05326225	-6.79894235	-6.4993599	-6.9352083	-7.15067775	-6.019648625
osa-miR169c	-7.98146865	-7.949699	-7.455947575	-7.28483115	-6.823075325	-7.0620015	-7.52011615	-6.871854975	-6.5681
osa-miR169b	-8.19108575	-7.7239014	-8.0222999	-8.547577625	-8.792056325	-7.9562705	-8.357916675	-8.3309164	-7.854771725
osa-miR169m	-9.322825125	-8.6954635	-8.11265575	-9.62526075	-9.45291425	-8.087678	-8.728518375	-10.32928325	-7.632786425
osa-miR169l	-8.555716575	-7.888268025	-8.05489075	-9.256296	-9.107961	-7.984262825	-8.62230525	-9.03278775	-7.887937375
osa-miR169o	-8.343704375	-7.996849175	-8.31113375	-7.6279314	-8.9455055	-8.204145	-7.28573155	-8.618575425	-7.647249075
osa-miR169n	-7.5477984	-7.471978775	-8.271436875	-7.652652975	-8.95570975	-8.163155375	-8.80464175	-7.54817445	-7.925881975
osa-miR169i	-9.0784505	-8.61816525	-8.0825355	-9.65379	-9.37976225	-8.00347125	-8.6408485	-9.995209	-7.911281325
